Financial Year,Age Band,Diagnosis,Count,
2009/10,30-34,Wounds (Unspecified),346,
2009/10,30-34,Other No Code Suitable,274,
2009/10,30-34,Psychiatric Other,247,
2009/10,30-34,Orthopaedic/Musculoskeletal Other,242,
2009/10,30-34,Fracture +/- Dislocation (Unspecified),208,
2009/10,30-34,Hand Injury (Unspecified),183,
2009/10,30-34,Back Pain (Non Specific),134,
2009/10,30-34,Chest Pain (Not Pleuritic),118,
2009/10,30-34,Head Injury (Unspecified),93,
2009/10,30-34,Headache (Migraine Or Unspec.),91,
2009/10,30-34,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),76,
2009/10,30-34,Superficial injuries,75,
2009/10,30-34,Ear/Nose/Throat Other,70,
2009/10,30-34,Chest Injury (Unspecified),63,
2009/10,30-34,Gynaecology Other,61,
2009/10,30-34,Seizures,60,
2009/10,30-34,Diarrhoea And/Or Vomiting,56,
2009/10,35-39,Limb Injury Other (Unspec.),532,
2009/10,35-39,Abdominal Pain (Unspecified),461,
2009/10,35-39,Medical Admission Other,454,
2009/10,35-39,Wounds (Unspecified),409,
2009/10,35-39,Other No Code Suitable,341,
2009/10,35-39,Fracture +/- Dislocation (Unspecified),239,
2009/10,35-39,Orthopaedic/Musculoskeletal Other,224,
2009/10,35-39,Psychiatric Other,221,
2009/10,35-39,Chest Pain (Not Pleuritic),185,
2009/10,35-39,Hand Injury (Unspecified),180,
2009/10,35-39,Back Pain (Non Specific),148,
2009/10,35-39,Headache (Migraine Or Unspec.),114,
2009/10,35-39,Head Injury (Unspecified),96,
2009/10,35-39,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),91,
2009/10,35-39,Toxicology Other - Not Drug Abuse/Accid Overdose,88,
2009/10,35-39,Poisoning Self Deliberate (Unspecified),80,
2009/10,35-39,Superficial injuries,80,
2009/10,35-39,Chest Injury (Unspecified),75,
2009/10,35-39,Asthma,72,
2009/10,35-39,Ear/Nose/Throat Other,68,
2009/10,40-44,Medical Admission Other,509,
2009/10,40-44,Limb Injury Other (Unspec.),507,
2009/10,40-44,Abdominal Pain (Unspecified),446,
2009/10,40-44,Wounds (Unspecified),389,
2009/10,40-44,Other No Code Suitable,319,
2009/10,40-44,Chest Pain (Not Pleuritic),318,
2009/10,40-44,Psychiatric Other,266,
2009/10,40-44,Orthopaedic/Musculoskeletal Other,225,
2009/10,40-44,Fracture +/- Dislocation (Unspecified),218,
2009/10,40-44,Hand Injury (Unspecified),177,
2009/10,40-44,Back Pain (Non Specific),169,
2009/10,40-44,Headache (Migraine Or Unspec.),101,
2009/10,40-44,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),99,
2009/10,40-44,Cardiology Other - Not Acute Myocardial Infarction,96,
2009/10,40-44,Head Injury (Unspecified),95,
2009/10,40-44,Superficial injuries,75,
2009/10,40-44,Chest Injury (Unspecified),72,
2009/10,40-44,Toxicology Other - Not Drug Abuse/Accid Overdose,67,
2009/10,40-44,Poisoning Self Deliberate (Unspecified),63,
2009/10,40-44,Diarrhoea And/Or Vomiting,58,
2009/10,45-49,Medical Admission Other,500,
2009/10,45-49,Limb Injury Other (Unspec.),441,
2009/10,45-49,Chest Pain (Not Pleuritic),433,
2009/10,45-49,Abdominal Pain (Unspecified),378,
2009/10,45-49,Wounds (Unspecified),330,
2009/10,45-49,Other No Code Suitable,292,
2009/10,45-49,Orthopaedic/Musculoskeletal Other,224,
2009/10,45-49,Fracture +/- Dislocation (Unspecified),189,
2009/10,45-49,Back Pain (Non Specific),174,
2009/10,45-49,Psychiatric Other,150,
2009/10,45-49,Hand Injury (Unspecified),146,
2009/10,45-49,Headache (Migraine Or Unspec.),102,
2009/10,45-49,Cardiology Other - Not Acute Myocardial Infarction,87,
2009/10,45-49,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),82,
2009/10,45-49,Head Injury (Unspecified),77,
2009/10,45-49,Superficial injuries,76,
2009/10,45-49,Seizures,74,
2009/10,45-49,Respiratory Other,67,
2009/10,45-49,Chest Injury (Unspecified),63,
2009/10,45-49,Toxicology Other - Not Drug Abuse/Accid Overdose,55,
2009/10,50-54,Medical Admission Other,570,
2009/10,50-54,Chest Pain (Not Pleuritic),530,
2009/10,50-54,Limb Injury Other (Unspec.),417,
2009/10,50-54,Abdominal Pain (Unspecified),363,
2009/10,50-54,Wounds (Unspecified),321,
2009/10,50-54,Other No Code Suitable,257,
2009/10,50-54,Orthopaedic/Musculoskeletal Other,188,
2009/10,50-54,Fracture +/- Dislocation (Unspecified),185,
2009/10,50-54,Hand Injury (Unspecified),136,
2009/10,50-54,Psychiatric Other,131,
2009/10,50-54,Back Pain (Non Specific),126,
2009/10,50-54,Cardiology Other - Not Acute Myocardial Infarction,123,
2009/10,50-54,Respiratory Other,106,
2009/10,50-54,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),91,
2009/10,50-54,Collapse (Unspecified),88,
2009/10,50-54,Head Injury (Unspecified),84,
2009/10,50-54,Asthma,72,
2009/10,50-54,Chest Injury (Unspecified),67,
2009/10,50-54,Headache (Migraine Or Unspec.),67,
2009/10,50-54,Superficial injuries,64,
2009/10,55-59,Medical Admission Other,581,
2009/10,55-59,Chest Pain (Not Pleuritic),546,
2009/10,55-59,Abdominal Pain (Unspecified),311,
2009/10,55-59,Limb Injury Other (Unspec.),295,
2009/10,55-59,Other No Code Suitable,236,
2009/10,55-59,Wounds (Unspecified),230,
2009/10,55-59,Orthopaedic/Musculoskeletal Other,174,
2009/10,55-59,Cardiology Other - Not Acute Myocardial Infarction,159,
2009/10,55-59,Fracture +/- Dislocation (Unspecified),156,
2009/10,55-59,Respiratory Other,125,
2009/10,55-59,Back Pain (Non Specific),104,
2009/10,55-59,Hand Injury (Unspecified),103,
2009/10,55-59,Collapse (Unspecified),79,
2009/10,55-59,Psychiatric Other,77,
2009/10,55-59,Headache (Migraine Or Unspec.),75,
2009/10,55-59,Chest Injury (Unspecified),67,
2009/10,55-59,Head Injury (Unspecified),66,
2009/10,55-59,Oncology Other,59,
2009/10,55-59,Eye Problem Other,53,
2009/10,55-59,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),52,
2009/10,5-Sep,Paediatric Other,495,
2009/10,5-Sep,Limb Injury Other (Unspec.),484,
2009/10,5-Sep,Fracture +/- Dislocation (Unspecified),351,
2009/10,5-Sep,Wounds (Unspecified),332,
2009/10,5-Sep,Orthopaedic/Musculoskeletal Other,226,
2009/10,5-Sep,Abdominal Pain (Unspecified),184,
2009/10,5-Sep,Asthma,156,
2009/10,5-Sep,Hand Injury (Unspecified),135,
2009/10,5-Sep,Head Injury (Unspecified),113,
2009/10,5-Sep,Other No Code Suitable,97,
2009/10,5-Sep,Medical Admission Other,94,
2009/10,5-Sep,Febrile Illness (Unspecified),71,
2009/10,5-Sep,Superficial injuries,53,
2009/10,5-Sep,Seizures,49,
2009/10,5-Sep,Ear/Nose/Throat Other,49,
2009/10,5-Sep,Paediatric Asthma,42,
2009/10,5-Sep,Respiratory Other,39,
2009/10,5-Sep,Foreign Body (Unspecified),39,
2009/10,5-Sep,Diarrhoea And/Or Vomiting,38,
2009/10,5-Sep,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),35,
2009/10,60-64,Medical Admission Other,637,
2009/10,60-64,Chest Pain (Not Pleuritic),540,
2009/10,60-64,Abdominal Pain (Unspecified),300,
2009/10,60-64,Limb Injury Other (Unspec.),245,
2009/10,60-64,Wounds (Unspecified),192,
2009/10,60-64,Other No Code Suitable,190,
2009/10,60-64,Cardiology Other - Not Acute Myocardial Infarction,170,
2009/10,60-64,Orthopaedic/Musculoskeletal Other,154,
2009/10,60-64,Respiratory Other,150,
2009/10,60-64,Fracture +/- Dislocation (Unspecified),146,
2009/10,60-64,Hand Injury (Unspecified),84,
2009/10,60-64,Back Pain (Non Specific),84,
2009/10,60-64,Headache (Migraine Or Unspec.),74,
2009/10,60-64,Collapse (Unspecified),71,
2009/10,60-64,Oncology Other,67,
2009/10,60-64,Chest Injury (Unspecified),54,
2009/10,60-64,Copd/Coad,52,
2009/10,60-64,Diarrhoea And/Or Vomiting,49,
2009/10,60-64,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),48,
2009/10,60-64,Eye Problem Other,48,
2009/10,65-69,Medical Admission Other,702,
2009/10,65-69,Chest Pain (Not Pleuritic),456,
2009/10,65-69,Abdominal Pain (Unspecified),254,
2009/10,65-69,Limb Injury Other (Unspec.),210,
2009/10,65-69,Cardiology Other - Not Acute Myocardial Infarction,185,
2009/10,65-69,Respiratory Other,172,
2009/10,65-69,Wounds (Unspecified),156,
2009/10,65-69,Other No Code Suitable,139,
2009/10,65-69,Fracture +/- Dislocation (Unspecified),122,
2009/10,65-69,Orthopaedic/Musculoskeletal Other,106,
2009/10,65-69,Back Pain (Non Specific),96,
2009/10,65-69,Collapse (Unspecified),84,
2009/10,65-69,Oncology Other,66,
2009/10,65-69,Headache (Migraine Or Unspec.),56,
2009/10,65-69,Cellulitis,54,
2009/10,65-69,Diarrhoea And/Or Vomiting,52,
2009/10,65-69,Copd/Coad,51,
2009/10,65-69,Hand Injury (Unspecified),51,
2009/10,65-69,Chest Injury (Unspecified),48,
2009/10,65-69,Epistaxis,41,
2009/10,70-74,Medical Admission Other,819,
2009/10,70-74,Chest Pain (Not Pleuritic),495,
2009/10,70-74,Abdominal Pain (Unspecified),246,
2009/10,70-74,Respiratory Other,206,
2009/10,70-74,Cardiology Other - Not Acute Myocardial Infarction,191,
2009/10,70-74,Limb Injury Other (Unspec.),165,
2009/10,70-74,Wounds (Unspecified),151,
2009/10,70-74,Other No Code Suitable,148,
2009/10,70-74,Orthopaedic/Musculoskeletal Other,125,
2009/10,70-74,Fracture +/- Dislocation (Unspecified),121,
2009/10,70-74,Collapse (Unspecified),121,
2009/10,70-74,Back Pain (Non Specific),76,
2009/10,70-74,Cerebrovascular Acc. (Stroke),73,
2009/10,70-74,Diarrhoea And/Or Vomiting,69,
2009/10,70-74,Oncology Other,65,
2009/10,70-74,Copd/Coad,64,
2009/10,70-74,Febrile Illness (Unspecified),40,
2009/10,70-74,Surgical,36,
2009/10,70-74,Epistaxis,35,
2009/10,70-74,Cellulitis,34,
2009/10,75-79,Medical Admission Other,1003,
2009/10,75-79,Chest Pain (Not Pleuritic),513,
2009/10,75-79,Abdominal Pain (Unspecified),258,
2009/10,75-79,Cardiology Other - Not Acute Myocardial Infarction,209,
2009/10,75-79,Respiratory Other,192,
2009/10,75-79,Collapse (Unspecified),173,
2009/10,75-79,Limb Injury Other (Unspec.),171,
2009/10,75-79,Wounds (Unspecified),169,
2009/10,75-79,Fracture +/- Dislocation (Unspecified),159,
2009/10,75-79,Other No Code Suitable,149,
2009/10,75-79,Orthopaedic/Musculoskeletal Other,117,
2009/10,75-79,Cerebrovascular Acc. (Stroke),90,
2009/10,75-79,Diarrhoea And/Or Vomiting,77,
2009/10,75-79,Back Pain (Non Specific),74,
2009/10,75-79,Epistaxis,63,
2009/10,75-79,Oncology Other,60,
2009/10,75-79,Surgical,50,
2009/10,75-79,Cellulitis,49,
2009/10,75-79,Copd/Coad,48,
2009/10,75-79,Chest Injury (Unspecified),43,
2009/10,80-84,Medical Admission Other,1259,
2009/10,80-84,Chest Pain (Not Pleuritic),444,
2009/10,80-84,Limb Injury Other (Unspec.),267,
2009/10,80-84,Fracture +/- Dislocation (Unspecified),245,
2009/10,80-84,Collapse (Unspecified),237,
2009/10,80-84,Wounds (Unspecified),224,
2009/10,80-84,Respiratory Other,221,
2009/10,80-84,Abdominal Pain (Unspecified),217,
2009/10,80-84,Cardiology Other - Not Acute Myocardial Infarction,175,
2009/10,80-84,Orthopaedic/Musculoskeletal Other,157,
2009/10,80-84,Other No Code Suitable,140,
2009/10,80-84,Back Pain (Non Specific),88,
2009/10,80-84,Cerebrovascular Acc. (Stroke),86,
2009/10,80-84,Diarrhoea And/Or Vomiting,80,
2009/10,80-84,Superficial injuries,57,
2009/10,80-84,Copd/Coad,50,
2009/10,80-84,Epistaxis,48,
2009/10,80-84,Febrile Illness (Unspecified),46,
2009/10,80-84,Cellulitis,45,
2009/10,80-84,Head Injury (Unspecified),44,
2009/10,85-89,Medical Admission Other,990,
2009/10,85-89,Chest Pain (Not Pleuritic),297,
2009/10,85-89,Fracture +/- Dislocation (Unspecified),241,
2009/10,85-89,Limb Injury Other (Unspec.),202,
2009/10,85-89,Wounds (Unspecified),188,
2009/10,85-89,Collapse (Unspecified),170,
2009/10,85-89,Respiratory Other,152,
2009/10,85-89,Abdominal Pain (Unspecified),143,
2009/10,85-89,Orthopaedic/Musculoskeletal Other,116,
2009/10,85-89,Cardiology Other - Not Acute Myocardial Infarction,106,
2009/10,85-89,Other No Code Suitable,99,
2009/10,85-89,Cerebrovascular Acc. (Stroke),85,
2009/10,85-89,Back Pain (Non Specific),73,
2009/10,85-89,Superficial injuries,53,
2009/10,85-89,Diarrhoea And/Or Vomiting,50,
2009/10,85-89,Head Injury (Unspecified),46,
2009/10,85-89,Epistaxis,45,
2009/10,85-89,Chest Injury (Unspecified),45,
2009/10,85-89,Cellulitis,43,
2009/10,85-89,Urinay Tract Infection/Pyelonephritis,32,
2009/10,90-94,Medical Admission Other,423,
2009/10,90-94,Fracture +/- Dislocation (Unspecified),129,
2009/10,90-94,Limb Injury Other (Unspec.),109,
2009/10,90-94,Chest Pain (Not Pleuritic),102,
2009/10,90-94,Wounds (Unspecified),82,
2009/10,90-94,Collapse (Unspecified),58,
2009/10,90-94,Respiratory Other,58,
2009/10,90-94,Abdominal Pain (Unspecified),52,
2009/10,90-94,Orthopaedic/Musculoskeletal Other,50,
2009/10,90-94,Other No Code Suitable,47,
2009/10,90-94,Superficial injuries,36,
2009/10,90-94,Back Pain (Non Specific),32,
2009/10,90-94,Cerebrovascular Acc. (Stroke),25,
2009/10,90-94,Diarrhoea And/Or Vomiting,23,
2009/10,90-94,Cardiology Other - Not Acute Myocardial Infarction,22,
2009/10,90-94,Chest Injury (Unspecified),20,
2009/10,90-94,Head Injury (Unspecified),19,
2009/10,90-94,Epistaxis,18,
2009/10,90-94,Cellulitis,18,
2009/10,90-94,Surgical,14,
2009/10,95-99,Medical Admission Other,66,
2009/10,95-99,Fracture +/- Dislocation (Unspecified),27,
2009/10,95-99,Limb Injury Other (Unspec.),20,
2009/10,95-99,Wounds (Unspecified),20,
2009/10,95-99,Respiratory Other,18,
2009/10,95-99,Chest Pain (Not Pleuritic),15,
2009/10,95-99,Orthopaedic/Musculoskeletal Other,12,
2009/10,95-99,Abdominal Pain (Unspecified),11,
2009/10,95-99,Collapse (Unspecified),10,
2009/10,95-99,Superficial injuries,8,
2009/10,95-99,Pneumonia That Is X-Ray Proven,6,
2009/10,95-99,Febrile Illness (Unspecified),5,
2009/10,95-99,Cardiology Other - Not Acute Myocardial Infarction,5,
2009/10,95-99,Diarrhoea And/Or Vomiting,5,
2009/10,95-99,Other No Code Suitable,5,
2009/10,95-99,Back Pain (Non Specific),5,
2009/10,95-99,Cerebrovascular Acc. (Stroke),4,
2009/10,95-99,Head Injury (Unspecified),3,
2009/10,95-99,Hand Injury (Unspecified),3,
2009/10,95-99,Chest Injury (Unspecified),3,
2010/11,0-4,Paediatric Other,2573,
2010/11,0-4,Febrile Illness (Unspecified),670,
2010/11,0-4,Wounds (Unspecified),572,
2010/11,0-4,Limb Injury Other (Unspec.),363,
2010/11,0-4,Diarrhoea And/Or Vomiting,355,
2010/11,0-4,Respiratory Other,303,
2010/11,0-4,Paed Acute Resp Illness-Not Asthma/Croup/Pneumonia,280,
2010/11,0-4,Medical Admission Other,249,
2010/11,0-4,Head Injury (Unspecified),225,
2010/11,0-4,Other No Code Suitable,223,
2010/11,0-4,Asthma,208,
2010/11,0-4,Fracture +/- Dislocation (Unspecified),175,
2010/11,0-4,Rash (Unspecified),171,
2010/11,0-4,Acute Resp Illness - Not Asthma/Copd/Pneumonia,164,
2010/11,0-4,Abdominal Pain (Unspecified),140,
2010/11,0-4,Hand Injury (Unspecified),123,
2010/11,0-4,Orthopaedic/Musculoskeletal Other,120,
2010/11,0-4,Paediatric Asthma,109,
2010/11,0-4,Minor Viral Illness,109,
2010/11,0-4,Foreign Body (Unspecified),103,
2010/11,100+,Fracture +/- Dislocation (Unspecified),4,
2010/11,100+,Medical Admission Other,4,
2010/11,100+,Wounds (Unspecified),3,
2010/11,100+,Acute Resp Illness - Not Asthma/Copd/Pneumonia,3,
2010/11,100+,Limb Injury Other (Unspec.),2,
2010/11,100+,Superficial injuries,2,
2010/11,100+,Chest Pain (Not Pleuritic),2,
2010/11,100+,Orthopaedic/Musculoskeletal Other,2,
2010/11,100+,Respiratory Other,2,
2010/11,100+,Febrile Illness (Unspecified),1,
2010/11,100+,Cerebrovascular Acc. (Stroke),1,
2010/11,Oct-14,Limb Injury Other (Unspec.),879,
2010/11,Oct-14,Fracture +/- Dislocation (Unspecified),472,
2010/11,Oct-14,Abdominal Pain (Unspecified),370,
2010/11,Oct-14,Wounds (Unspecified),345,
2010/11,Oct-14,Orthopaedic/Musculoskeletal Other,320,
2010/11,Oct-14,Paediatric Other,271,
2010/11,Oct-14,Hand Injury (Unspecified),270,
2010/11,Oct-14,Head Injury (Unspecified),163,
2010/11,Oct-14,Medical Admission Other,93,
2010/11,Oct-14,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),84,
2010/11,Oct-14,Other No Code Suitable,79,
2010/11,Oct-14,Superficial injuries,77,
2010/11,Oct-14,Seizures,67,
2010/11,Oct-14,Back Pain (Non Specific),59,
2010/11,Oct-14,Psychiatric Other,57,
2010/11,Oct-14,Asthma,54,
2010/11,Oct-14,Ear/Nose/Throat Other,45,
2010/11,Oct-14,Febrile Illness (Unspecified),40,
2010/11,Oct-14,Headache (Migraine Or Unspec.),35,
2010/11,Oct-14,Rash (Unspecified),28,
2010/11,15-19,Limb Injury Other (Unspec.),1185,
2010/11,15-19,Wounds (Unspecified),817,
2010/11,15-19,Abdominal Pain (Unspecified),624,
2010/11,15-19,Fracture +/- Dislocation (Unspecified),511,
2010/11,15-19,Hand Injury (Unspecified),456,
2010/11,15-19,Orthopaedic/Musculoskeletal Other,402,
2010/11,15-19,Medical Admission Other,394,
2010/11,15-19,Psychiatric Other,347,
2010/11,15-19,Other No Code Suitable,317,
2010/11,15-19,Head Injury (Unspecified),284,
2010/11,15-19,Ear/Nose/Throat Other,158,
2010/11,15-19,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),154,
2010/11,15-19,Superficial injuries,150,
2010/11,15-19,Toxicology Other - Not Drug Abuse/Accid Overdose,139,
2010/11,15-19,Back Pain (Non Specific),126,
2010/11,15-19,Poisoning Self Deliberate (Unspecified),120,
2010/11,15-19,Facial Trauma (Unspecified),115,
2010/11,15-19,Asthma,111,
2010/11,15-19,Headache (Migraine Or Unspec.),107,
2010/11,15-19,Suspected Alcohol/Recreational Drug Involvement,104,
2010/11,20-24,Limb Injury Other (Unspec.),1024,
2010/11,20-24,Wounds (Unspecified),857,
2010/11,20-24,Abdominal Pain (Unspecified),818,
2010/11,20-24,Medical Admission Other,489,
2010/11,20-24,Fracture +/- Dislocation (Unspecified),447,
2010/11,20-24,Orthopaedic/Musculoskeletal Other,395,
2010/11,20-24,Hand Injury (Unspecified),393,
2010/11,20-24,Other No Code Suitable,379,
2010/11,20-24,Psychiatric Other,357,
2010/11,20-24,Head Injury (Unspecified),203,
2010/11,20-24,Back Pain (Non Specific),169,
2010/11,20-24,Headache (Migraine Or Unspec.),155,
2010/11,20-24,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),154,
2010/11,20-24,Toxicology Other - Not Drug Abuse/Accid Overdose,153,
2010/11,20-24,Diarrhoea And/Or Vomiting,138,
2010/11,20-24,Facial Trauma (Unspecified),129,
2010/11,20-24,Superficial injuries,120,
2010/11,20-24,Ear/Nose/Throat Other,120,
2010/11,20-24,Gynaecology Other,119,
2010/11,20-24,Chest Pain (Not Pleuritic),114,
2010/11,25-29,Limb Injury Other (Unspec.),684,
2010/11,25-29,Wounds (Unspecified),572,
2010/11,25-29,Abdominal Pain (Unspecified),551,
2010/11,25-29,Medical Admission Other,362,
2010/11,25-29,Psychiatric Other,343,
2010/11,25-29,Fracture +/- Dislocation (Unspecified),261,
2010/11,25-29,Hand Injury (Unspecified),261,
2010/11,25-29,Other No Code Suitable,248,
2010/11,25-29,Orthopaedic/Musculoskeletal Other,238,
2010/11,25-29,Back Pain (Non Specific),155,
2010/11,25-29,Head Injury (Unspecified),140,
2010/11,25-29,Headache (Migraine Or Unspec.),117,
2010/11,25-29,Chest Pain (Not Pleuritic),115,
2010/11,25-29,Diarrhoea And/Or Vomiting,95,
2010/11,25-29,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),91,
2010/11,25-29,Gynaecology Other,84,
2010/11,25-29,Toxicology Other - Not Drug Abuse/Accid Overdose,82,
2010/11,25-29,Facial Trauma (Unspecified),78,
2010/11,25-29,Seizures,71,
2010/11,25-29,Superficial injuries,70,
2010/11,30-34,Limb Injury Other (Unspec.),518,
2010/11,30-34,Wounds (Unspecified),411,
2010/11,30-34,Abdominal Pain (Unspecified),401,
2010/11,30-34,Medical Admission Other,315,
2010/11,30-34,Psychiatric Other,271,
2010/11,30-34,Fracture +/- Dislocation (Unspecified),227,
2010/11,30-34,Orthopaedic/Musculoskeletal Other,212,
2010/11,30-34,Hand Injury (Unspecified),196,
2010/11,30-34,Other No Code Suitable,179,
2010/11,30-34,Back Pain (Non Specific),134,
2010/11,30-34,Chest Pain (Not Pleuritic),115,
2010/11,30-34,Toxicology Other - Not Drug Abuse/Accid Overdose,95,
2010/11,30-34,Headache (Migraine Or Unspec.),92,
2010/11,30-34,Head Injury (Unspecified),92,
2010/11,30-34,Poisoning Self Deliberate (Unspecified),67,
2010/11,30-34,Diarrhoea And/Or Vomiting,62,
2010/11,30-34,Seizures,57,
2010/11,30-34,Eye Problem Other,54,
2010/11,30-34,Ear/Nose/Throat Other,53,
2010/11,30-34,Cellulitis,53,
2010/11,35-39,Limb Injury Other (Unspec.),500,
2010/11,35-39,Wounds (Unspecified),422,
2010/11,35-39,Abdominal Pain (Unspecified),410,
2010/11,35-39,Medical Admission Other,362,
2010/11,35-39,Psychiatric Other,265,
2010/11,35-39,Other No Code Suitable,204,
2010/11,35-39,Fracture +/- Dislocation (Unspecified),201,
2010/11,35-39,Orthopaedic/Musculoskeletal Other,190,
2010/11,35-39,Hand Injury (Unspecified),167,
2010/11,35-39,Chest Pain (Not Pleuritic),163,
2010/11,35-39,Back Pain (Non Specific),149,
2010/11,35-39,Headache (Migraine Or Unspec.),103,
2010/11,35-39,Head Injury (Unspecified),97,
2010/11,35-39,Seizures,83,
2010/11,35-39,Toxicology Other - Not Drug Abuse/Accid Overdose,78,
2010/11,35-39,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),75,
2010/11,35-39,Asthma,68,
2010/11,35-39,Respiratory Other,66,
2010/11,35-39,Chest Injury (Unspecified),64,
2010/11,35-39,Eye Problem Other,59,
2010/11,40-44,Limb Injury Other (Unspec.),535,
2010/11,40-44,Abdominal Pain (Unspecified),436,
2010/11,40-44,Medical Admission Other,426,
2010/11,40-44,Wounds (Unspecified),395,
2010/11,40-44,Chest Pain (Not Pleuritic),295,
2010/11,40-44,Psychiatric Other,256,
2010/11,40-44,Orthopaedic/Musculoskeletal Other,213,
2010/11,40-44,Other No Code Suitable,209,
2010/11,40-44,Back Pain (Non Specific),188,
2010/11,40-44,Hand Injury (Unspecified),184,
2010/11,40-44,Fracture +/- Dislocation (Unspecified),184,
2010/11,40-44,Headache (Migraine Or Unspec.),120,
2010/11,40-44,Cardiology Other - Not Acute Myocardial Infarction,98,
2010/11,40-44,Toxicology Other - Not Drug Abuse/Accid Overdose,92,
2010/11,40-44,Head Injury (Unspecified),86,
2010/11,40-44,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),78,
2010/11,40-44,Chest Injury (Unspecified),67,
2010/11,40-44,Cellulitis,64,
2010/11,40-44,Seizures,64,
2010/11,40-44,Superficial injuries,61,
2010/11,45-49,Limb Injury Other (Unspec.),559,
2010/11,45-49,Medical Admission Other,431,
2010/11,45-49,Chest Pain (Not Pleuritic),417,
2010/11,45-49,Abdominal Pain (Unspecified),390,
2010/11,45-49,Wounds (Unspecified),333,
2010/11,45-49,Other No Code Suitable,209,
2010/11,45-49,Fracture +/- Dislocation (Unspecified),202,
2010/11,45-49,Psychiatric Other,202,
2010/11,45-49,Orthopaedic/Musculoskeletal Other,185,
2010/11,45-49,Back Pain (Non Specific),177,
2010/11,45-49,Hand Injury (Unspecified),149,
2010/11,45-49,Cardiology Other - Not Acute Myocardial Infarction,119,
2010/11,45-49,Head Injury (Unspecified),100,
2010/11,45-49,Headache (Migraine Or Unspec.),87,
2010/11,45-49,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),80,
2010/11,45-49,Respiratory Other,78,
2010/11,45-49,Cellulitis,69,
2010/11,45-49,Seizures,66,
2010/11,45-49,Chest Injury (Unspecified),65,
2010/11,45-49,Toxicology Other - Not Drug Abuse/Accid Overdose,61,
2010/11,50-54,Chest Pain (Not Pleuritic),495,
2010/11,50-54,Medical Admission Other,437,
2010/11,50-54,Limb Injury Other (Unspec.),416,
2010/11,50-54,Abdominal Pain (Unspecified),330,
2010/11,50-54,Wounds (Unspecified),310,
2010/11,50-54,Psychiatric Other,220,
2010/11,50-54,Fracture +/- Dislocation (Unspecified),220,
2010/11,50-54,Orthopaedic/Musculoskeletal Other,183,
2010/11,50-54,Other No Code Suitable,174,
2010/11,50-54,Cardiology Other - Not Acute Myocardial Infarction,146,
2010/11,50-54,Back Pain (Non Specific),138,
2010/11,50-54,Respiratory Other,121,
2010/11,50-54,Hand Injury (Unspecified),111,
2010/11,50-54,Head Injury (Unspecified),85,
2010/11,50-54,Headache (Migraine Or Unspec.),85,
2010/11,50-54,Diarrhoea And/Or Vomiting,69,
2010/11,50-54,Collapse (Unspecified),67,
2010/11,50-54,Spinal Thoracic/Lumbar/Sacral Injury (Unspecified),64,
2010/11,50-54,Cellulitis,60,
2010/11,50-54,Surgical,58,
2010/11,55-59,Chest Pain (Not Pleuritic),559,
2010/11,55-59,Medical Admission Other,485,
2010/11,55-59,Limb Injury Other (Unspec.),334,
2010/11,55-59,Abdominal Pain (Unspecified),301,
2010/11,55-59,Wounds (Unspecified),240,
2010/11,55-59,Fracture +/- Dislocation (Unspecified),192,
2010/11,55-59,Cardiology Other - Not Acute Myocardial Infarction,187,
2010/11,55-59,Other No Code Suitable,167,
2010/11,55-59,Orthopaedic/Musculoskeletal Other,160,
2010/11,55-59,Back Pain (Non Specific),134,
2010/11,55-59,Respiratory Other,126,
2010/11,55-59,Psychiatric Other,122,
2010/11,55-59,Headache (Migraine Or Unspec.),98,
2010/11,55-59,Collapse (Unspecified),92,
2010/11,55-59,Hand Injury (Unspecified),87,
2010/11,55-59,Diarrhoea And/Or Vomiting,57,
2010/11,55-59,Chest Injury (Unspecified),56,
2010/11,55-59,Head Injury (Unspecified),51,
2010/11,55-59,Cellulitis,47,
2010/11,55-59,Oncology Other,46,
2010/11,5-Sep,Limb Injury Other (Unspec.),533,
2010/11,5-Sep,Paediatric Other,397,
2010/11,5-Sep,Wounds (Unspecified),343,
2010/11,5-Sep,Fracture +/- Dislocation (Unspecified),320,
2010/11,5-Sep,Abdominal Pain (Unspecified),244,
2010/11,5-Sep,Orthopaedic/Musculoskeletal Other,189,
2010/11,5-Sep,Hand Injury (Unspecified),135,
2010/11,5-Sep,Asthma,118,
2010/11,5-Sep,Head Injury (Unspecified),104,
2010/11,5-Sep,Medical Admission Other,101,
2010/11,5-Sep,Febrile Illness (Unspecified),97,
